Species Type,Genus,Species,Brain mass (g),Body mass (g)
M,Macaca,sinica,87.5,3855
M,Macaca,sinica,56.2,1720
M,Macaca,sinica,60.1,2220
M,Leopoldamys,siporanus,3.39,332.7
M,Herpestes,smithii,19.7,4000
M,Macroglossus,sobrinus,0.692,21.7
M,Rattus,sordidus,1.7,120.67
M,Glossophaga,soricina,0.39,11.2
M,Hylopetes,spadiceus,1.87,87.5
M,Megaderma,spasma,0.667,23.8
M,Tamias,speciosus,1.86,59.9
M,Dipodomys,spectabilis,1.7,142.5
M,Vampyrum,spectrum,2.8685,181
M,Pectinator,spekei,1.93,180
M,Tragelaphus,spekii,145,42000
M,Tragelaphus,spekii,170,55000
M,Eonycteris,spelaea,1.18,50
M,Hipposideros,speoris,0.284,11.5
M,Cynopterus,sphinx,1.061,42.4
M,Mandrillus,sphinx,159.2,11500
M,Galea,spixii,6.5,672
M,Tachyoryctes,splendens,1.88,234
M,Lionycteris,spurrelli,0.352,7.55
M,Phylloderma,stenops,1.338,46.1
M,Pipistrellus,stenopterus,0.247,15.8
M,Rhinolophus,stheno,0.285,8.5
M,Aselliscus,stoliczkanus,0.15,4.9
M,Strepsiceros,strepsiceros,331,270000
M,Strepsiceros,strepsiceros,429,292000
M,Tragelaphus,strepsiceros,331,270000
M,Tragelaphus,strepsiceros,429,290000
M,Lemniscomys,striatus,0.85,46.2
M,Tamias,striatus,2.17,94.3
M,Chrysochloris,stuhlmanni,0.74,39.8
M,Chrysochloris,stuhlmanni,1.37,60.3
M,Pipistrellus,subflavus,0.125,5.3
M,Bathyergus,suillus,3.75,1175
M,Bassariscus,sumichrasti,41.9,2722
M,Nyctomys,sumichrasti,1.08,60
M,Suricata,suricatta,14,1700
M,Thryonomys,swinderianus,13.28,1625
M,Macaca,sylvanus,87.7,11200
M,Apodemus,sylvaticus,0.58,18.6
M,Apodemus,sylvaticus,0.59,21.6
M,Pogonomys,sylvestris,1.13,41.2
M,Symphalangus,syndactylus,128,11793
M,Symphalangus,syndactylus,139.5,12701
M,Symphalangus,syndactylus,138.7,11450
M,Symphalangus,syndactylus,133,12744
M,Pecari,tajacu,74,7930
M,Pecari,tajacu,101,19618
M,Pecari,tajacu,123.5,29000
M,Microgale,talazaci,0.79,50.4
M,Thomomys,talpoides,1.98,120.7
M,Viverra,tangalunga,30.4,3200
M,Rangifer,tarandus,278,71700
M,Rangifer,tarandus,285,62140
M,Rangifer,tarandus,306,128470
M,Rangifer,tarandus,288,105000
M,Loris,tardigradus,5.9,322
M,Loris,tardigradus,5.5,322
M,Loris,tardigradus,6.6,322
M,Tarsius,tarsier,3.6,125
M,Saiga,tatarica,91.6,40000
M,Connochaetes,taurinus,382,171000
M,Connochaetes,taurinus,362,164000
M,Connochaetes,taurinus,372,176000
M,Connochaetes,taurinus,443,212230
M,Taxidea,taxus,53,6000
M,Taxidea,taxus,66.6,10000
M,Echinops,telfairi,0.62,87.5
M,Pteropus,temmincki,4.89,250
M,Molossops,temminckii,0.181,6.8
M,Pipistrellus,tenuis,0.113,5.2
M,Aeromys,tephromelas,10.34,1189
M,Xerospermophilus,tereticaudus,1.82,156.6
M,Tamandua,tetradactyla,30,5030
M,Tamandua,tetradactyla,25,3692
M,Nycteris,thebaica,0.2785,8.95
M,Taphozous,theobaldi,0.681,39.8
M,Ursus,thibetanus,308.2,120000
M,Hsunycteris,thomasi,0.3435,7.2
M,Rhinolophus,thomasi,0.233,9
M,Megadontomys,thomasi,1.26,111
M,Eudorcas,thomsoni,85,17000
M,Eudorcas,thomsoni,89,17000
M,Eudorcas,thomsoni,96,17000
M,Eudorcas,thomsoni,74,17500
M,Eudorcas,thomsoni,91,21000
M,Eudorcas,thomsoni,88,23000
M,Eudorcas,thomsoni,91,23500
M,Eudorcas,thomsonii,91.8,24370
M,Craseonycteris,thonglongyai,0.087,2.56
M,Genetta,tigrina,15.35,1525
M,Genetta,tigrina,18.9,3000
M,Leopardus,tigrinus,26.9,2800
M,Panthera,tigris,225,160000
M,Panthera,tigris,302,209000
M,Panthera,tigris,282.2,216000
M,Panthera,tigris,298.5,280000
M,Sturnira,tildae,0.7255,24
M,Lepus,timidus,13.49,2716
M,Lepus,timidus,16.7,3833
M,Nyctophilus,timoriensis,0.254,10.9
M,Dermanura,tolteca,0.544,16.45
M,Pteropus,tonganus,6.075,428.75
M,Myonycteris,torquata,1.1585,36.4
M,Cheiromeles,torquatus,1.366,168.5
M,Dicrostonyx,torquatus,0.84,73
M,Scapanus,townsendii,2.02,70
M,Microtus,townsendii,0.88,45.8
M,Tamias,townsendii,2.44,89.4
M,Urocitellus,townsendii,2.06,199
M,Sphaeronycteris,toxophyllum,0.537,17.55
M,Nycteris,tragata,0.46,14.4
M,Boselaphus,tragocamelus,255.5,125000
M,Boselaphus,tragocamelus,288,125000
M,Thyroptera,tricolor,0.23,4.5
M,Myotis,tricolor,0.259,13.6
M,Aselliscus,tricuspidatus,0.134,4.4
M,Myrmecophaga,tridactyla,58.8,15000
M,Myrmecophaga,tridactyla,84,18940
M,Bradypus,tridactylus,13.5,1800
M,Bradypus,tridactylus,24.9,4097
M,Ictidomys,tridecemlineatus,2.4,115
M,Ictidomys,tridecemlineatus,2.43,175
M,Ictidomys,tridecemlineatus,2.2,200
M,Asellia,tridens,0.24,12.8
M,Rhinolophus,trifoliatus,0.351,14.8
M,Lemmus,trimucronatus,1.312,48
M,Lemmus,trimucronatus,0.9,69.6
M,Chiroderma,trinitatum,0.537,13.7
M,Miniopterus,tristis,0.333,15.6
M,Tscherskia,triton,1.29,25
M,Aotus,trivirgatus,17.2,630
M,Aotus,trivirgatus,17.2,720
M,Aotus,trivirgatus,13.2,848.4
M,Aotus,trivirgatus,15.5,480
M,Aotus,trivirgatus,17.1,830
M,Hybomys,trivirgatus,1.1,57.5
M,Pan,troglodytes,343.9,40300
M,Pan,troglodytes,229.2,40300
M,Pan,troglodytes,407.5,40300
M,Pan,troglodytes,314.3,40300
M,Pan,troglodytes,348.1,40300
M,Pan,troglodytes,327.8,40300
M,Pan,troglodytes,332.9,40300
M,Pan,troglodytes,312.9,40300
M,Pan,troglodytes,325,43990
M,Pan,troglodytes,384,49450
M,Pan,troglodytes,364.6,49450
M,Pan,troglodytes,395.3,49450
M,Pan,troglodytes,341.2,49450
M,Pan,troglodytes,377.2,49450
M,Pan,troglodytes,440,56690
M,Pan,troglodytes,360,45000
M,Pan,troglodytes,405,46000
M,Sorex,trowbridgii,0.21,5.3
M,Peromyscus,truei,0.75,27.35
M,Tursiops,truncatus,1383,60000
M,Tursiops,truncatus,1588,102000
M,Tursiops,truncatus,1296,120000
M,Tursiops,truncatus,1540,63000
M,Tursiops,truncatus,1389,95000
M,Tursiops,truncatus,1555,100000
M,Tursiops,truncatus,1600,155000
M,Tursiops,truncatus,1530,165000
M,Murina,tubinaris,0.217,5.45
M,Praomys,tullbergi,0.86,37.2
M,Rhogeessa,tumida,0.1055,5.05
M,Natalus,tumidirostris,0.245,6.9
M,Rattus,tunneyi,1.41,76.2
M,Hipposideros,turpis,0.599,34.8
M,Glischropus,tylopus,0.099,4.95
M,Panthera,uncia,214.8,130000
M,Urocitellus,undulatus,4.84,725.3
M,Meriones,unguiculatus,1.13,57.4
M,Cabassous,unicinctus,23.68,3930
M,Rusa,unicolor,383,116000
M,Callorhinus,ursinus,347,28000
M,Callorhinus,ursinus,367,181000
M,Melursus,ursinus,267,136080
M,Melursus,ursinus,294.3,200000
M,Sorex,vagrans,0.17,5.3
M,Pteropus,vampyrus,9,1152
M,Pteropus,vampyrus,10.7,1191.9
M,Pteropus,vampyrus,10.4,1225
M,Pteropus,vampyrus,10.6,1262.5
M,Varecia,variegata,24,1250
M,Varecia,variegata,30,2040
M,Varecia,variegata,32,2720
M,Varecia,variegata,31.3,3062
M,Varecia,variegata,31.5,3000
M,Bradypus,variegatus,18,3774
M,Bradypus,variegatus,15,2894
M,Bradypus,variegatus,15.1,3121
M,Myotis,velifer,0.2,8.9
M,Potamogale,velox,3.931,640
M,Potamogale,velox,4.16,660
M,Vulpes,velox,31.9,3000
M,Rattus,verecundus,1.48,59.4
M,Propithecus,verreauxi,26.7,3480
M,Lipotes,vexillifer,558,180000
M,Vicugna,vicgna,198,45000
M,Chiroderma,villosum,0.706,24.8
M,Odocoileus,virginianus,127.4,34927
M,Odocoileus,virginianus,129,39010
M,Odocoileus,virginianus,174.7,33566
M,Odocoileus,virginianus,210,65090
M,Odocoileus,virginianus,160,40000
M,Lagidium,viscacia,14.3,1395
M,Lagidium,viscacia,16,2252
M,Lagidium,viscacia,15.2,2350
M,Lagidium,viscacia,14.8,3845
M,Neovison,vison,7.9,269
M,Neovison,vison,7.91,284
M,Neovison,vison,7.73,289
M,Neovison,vison,7.67,302
M,Neovison,vison,7.36,316
M,Neovison,vison,7.75,323
M,Neovison,vison,7.96,324
M,Neovison,vison,8.5,329
M,Neovison,vison,7.51,332
M,Neovison,vison,7.7,338
M,Neovison,vison,8.32,339
M,Neovison,vison,8.63,339
M,Neovison,vison,8.13,347
M,Neovison,vison,8.5,354
M,Neovison,vison,8.24,354
M,Neovison,vison,7.91,355
M,Neovison,vison,9.1,365
M,Neovison,vison,7.94,370
M,Neovison,vison,8.29,373
M,Neovison,vison,9.3,375
M,Neovison,vison,8.58,378
M,Neovison,vison,8.88,381
M,Neovison,vison,7.94,382
M,Neovison,vison,8.5,390
M,Neovison,vison,8.1,391
M,Neovison,vison,8.3,392
M,Neovison,vison,8.9,417
M,Neovison,vison,8.74,427
M,Neovison,vison,8.54,439
M,Neovison,vison,9.08,460
M,Neovison,vison,9.73,490
M,Neovison,vison,10.27,509
M,Neovison,vison,9.98,514
M,Neovison,vison,10.25,525
M,Neovison,vison,10.57,526
M,Neovison,vison,10.72,537
M,Neovison,vison,9.75,538
M,Neovison,vison,10.08,538
M,Neovison,vison,10.43,550
M,Neovison,vison,10.76,589
M,Neovison,vison,9.79,591
M,Neovison,vison,10.19,591
M,Neovison,vison,11.64,592
M,Neovison,vison,10.98,602
M,Neovison,vison,10.59,606
M,Neovison,vison,9.79,633
M,Neovison,vison,10.51,634
M,Neovison,vison,10.06,636
M,Neovison,vison,11.57,647
M,Neovison,vison,11.01,648
M,Neovison,vison,10.23,649
M,Neovison,vison,10.53,649
M,Neovison,vison,10.55,663
M,Neovison,vison,9.83,682
M,Neovison,vison,11.03,683
M,Neovison,vison,10.21,707
M,Neovison,vison,10.8,724
M,Neovison,vison,10.8,742
M,Neovison,vison,10,1500
M,Galictis,vittata,18.6,1900
M,Platyrrhinus,vittatus,1.175,36.6
M,Phoca,vitulina,214.5,11113
M,Phoca,vitulina,259,12701
M,Phoca,vitulina,225,13835
M,Phoca,vitulina,214.5,12247
M,Phoca,vitulina,229.5,13154
M,Phoca,vitulina,442,107300
M,Nyctimene,vizcaccia,0.988,35.4
M,Glaucomys,volans,1.65,51
M,Glaucomys,volans,1.84,55
M,Glaucomys,volans,2.1,60.5
M,Glaucomys,volans,1.92,58.3
M,Glaucomys,volans,2,59
M,Glaucomys,volans,1.96,61.5
M,Glaucomys,volans,1.92,64
M,Glaucomys,volans,1.8,78.7
M,Glaucomys,volans,1.89,52
M,Glaucomys,volans,1.71,73.1
M,Pteromys,volans,1.92,64
M,Sciurus,vulgaris,6.1,323
M,Sciurus,vulgaris,6.23,327
M,Sciurus,vulgaris,5.75,331.8
M,Trichosurus,vulpecula,9.7,1371.5
M,Trichosurus,vulpecula,12.27,4196
M,Trichosurus,vulpecula,11,1898
M,Trichosurus,vulpecula,12.9,3175
M,Trichosurus,vulpecula,8.97,825
M,Trichosurus,vulpecula,11.4,1620
M,Vulpes,vulpes,53.3,4625
M,Vulpes,vulpes,43.6,2550
M,Vulpes,vulpes,46.8,2910
M,Vulpes,vulpes,50.5,4235
M,Vulpes,vulpes,54,4293.529412
M,Vulpes,vulpes,48,6000
M,Vulpes,vulpes,40,9000
M,Vulpes,vulpes,58.5,10000
M,Epomophorus,wahlbergi,1.96133,81.51
M,Litocranius,walleri,130,41500
M,Litocranius,walleri,180,75000
M,Leptonychotes,weddellii,550,400000
M,Leptonychotes,weddellii,520,400000
M,Acomys,wilsoni,0.58,18.5
M,Megaloglossus,woermanni,0.6795,18
M,Melonycteris,woodfordi,1.0185,35.5
M,Puma,yagouaroundi,56.2,9400
M,Diaemus,youngi,0.97,34.6
M,Peromyscus,yucatanicus,0.7,26.3
M,Myotis,yumanensis,0.13,4.6
M,Rhinolophus,yunanensis,0.439,23.5
M,Cephalophus,zebra,83,10000
M,Scotonycteris,zenkeri,0.71,21.35
M,Vulpes,zerda,20.3,1700
M,Ondatra,zibethicus,5.33,900
M,Ondatra,zibethicus,5.59,1260
M,Ondatra,zibethicus,4.73,1372.9
M,Aotus,zonalis,109,9163
M,Aotus,zonalis,118,8890
R,Uromastyx,acanthinurus,0.335,164
R,Crocodylus,acutus,15.6,134000
R,Crocodylus,acutus,11,110000
R,Agama,agama,0.173,29.3
R,Lacerta,agilis,0.076,12.057
R,Psammodromus,algirus,0.045,4.3
R,Vipera,aspis,0.1015,68.7
R,Anolis,auratus,0.073,10.5
R,Vipera,berus,0.105,64.2
R,Carlia,bicarinata,0.019,1.48
R,Carlia,bicarinata,0.0194,1.24
R,Carlia,bicarinata,0.0167,1.12
R,Carlia,bicarinata,0.0171,1.28
R,Carlia,bicarinata,0.0304,2.32
R,Carlia,bicarinata,0.023,2.08
R,Carlia,bicarinata,0.022,2.28
R,Carlia,bicarinata,0.0028,1.93
R,Carlia,bicarinata,0.0228,1.76
R,Carlia,bicarinata,0.0241,1.7
R,Carlia,bicarinata,0.0204,1.12
R,Carlia,bicarinata,0.0174,1.18
R,Carlia,bicarinata,0.0175,1.18
R,Carlia,bicarinata,0.0184,1.14
R,Hemidactylus,brookii,0.043,4.7
R,Caretta,caretta,2.7,5443
R,Phelsuma,cepediana,0.059,5
R,Chalcides,chalcides,0.0555,18.8
R,Liolaemus,chiliensis,0.1035,26
R,Boa,constrictor,0.44,1829
R,Boa,constrictor,0.649,4460
R,Coluber,constrictor,0.271,590
R,Coluber,constrictor,0.303,286
R,Coluber,constrictor,0.299,417
R,Cordylus,cordylus,0.175,56.5
R,Phrynosoma,coronatum,0.1269,24.9
R,Phrynosoma,coronatum,0.1383,25
R,Amblyrhynchus,cristatus,1.44,4190
R,Oplurus,cuvieri,0.267,51
R,Apalone,ferox,2.5,3253
R,Anguis,fragilis,0.039,16.252
R,Anguis,fragilis,0.037,18.9
R,Anguis,fragilis,0.044,22
R,Sphenomorphus,fragilis,0.0103,1.21
R,Sphenomorphus,fragilis,0.009,0.94
R,Sphenomorphus,fragilis,0.0104,0.84
R,Sphenomorphus,fragilis,0.0101,1.3
R,Sphenomorphus,fragilis,0.0077,0.94
R,Sphenomorphus,fragilis,0.0088,0.94
R,Sphenomorphus,fragilis,0.0086,1.21
R,Sphenomorphus,fragilis,0.01,0.82
R,Sphenomorphus,fragilis,0.0122,1.47
R,Sphenomorphus,fragilis,0.0109,1.34
R,Sphenomorphus,fragilis,0.0137,1.34
R,Sphenomorphus,fragilis,0.0107,1.26
R,Sphenomorphus,fragilis,0.0102,1.47
R,Sphenomorphus,fragilis,0.0103,1.29
R,Sphenomorphus,fragilis,0.0101,1.13
R,Sphenomorphus,fragilis,0.0095,1.09
R,Sphenomorphus,fragilis,0.0107,0.88
R,Hemidactylus,frenatus,0.0289,3.83
R,Hemidactylus,frenatus,0.0294,3.2
R,Hemidactylus,frenatus,0.0289,3.41
R,Hemidactylus,frenatus,0.0263,2.46
R,Hemidactylus,frenatus,0.0248,2.42
R,Hemidactylus,frenatus,0.0257,2.15
R,Hemidactylus,frenatus,0.0234,2.11
R,Hemidactylus,frenatus,0.0242,1.99
R,Hemidactylus,frenatus,0.028,2.35
R,Hemidactylus,frenatus,0.0235,2.18
R,Hemidactylus,frenatus,0.0204,1.19
R,Hemidactylus,frenatus,0.0373,5
R,Hemidactylus,frenatus,0.0387,4.84
R,Hemidactylus,frenatus,0.0422,4.74
R,Hemidactylus,frenatus,0.0361,4.47
R,Hemidactylus,frenatus,0.037,4.28
R,Hemidactylus,frenatus,0.0332,3.09
R,Hemidactylus,frenatus,0.0303,3.02
R,Hemidactylus,frenatus,0.0286,2.76
R,Hemidactylus,frenatus,0.0282,2.85
R,Hemidactylus,frenatus,0.0276,2.22
R,Hemidactylus,frenatus,0.0221,1.67
R,Hemidactylus,frenatus,0.0174,1.59
R,Hemidactylus,frenatus,0.0199,1.41
R,Gekko,gecko,0.198,54.8
R,Coronella,girondica,0.088,117
R,Testudo,graeca,0.3,320
R,Testudo,graeca,0.36,993.58
R,Testudo,graeca,0.318,267.5
R,Varanus,griseus,0.722,254.2
R,Clemmys,guttata,1.36,2163
R,Testudo,hermanni,0.476,693.4
R,Psammodromus,hispanicus,0.025,2.1
R,Iguana,iguana,0.606,253.5
R,Agama,inermis,0.099,12.9
R,Chamaeleo,lateralis,0.061,10.9
R,Lacerta,lepida,0.224,70.8
R,Zamenis,lineatus,0.209,220
R,Elaphe,longissima,0.168,148.2
R,Hemidactylus,mabouia,0.033,2.5
R,Callopistes,maculatus,0.318,50.3
R,Chalarodon,madagascariensis,0.06,6.3
R,Natrix,maura,0.095,86
R,Tarentola,mauritanica,0.07,7.8
R,Zonosaurus,maximus,0.565,386.4
R,Naja,melanoleuca,0.646,1770
R,Chalcides,mionecton,0.03,6.4
R,Alligator,mississippiensis,14.08,205000
R,Alligator,mississippiensis,11.2,173000
R,Python,molurus,1.123,6140
R,Lacerta,muralis,0.046,4.2
R,Chelonia,mydas,8.6,114300
R,Natrix,natrix,0.1,70
R,Natrix,natrix,0.115,74.1
R,Varanus,niloticus,2.44,7500
R,Chalcides,ocellatus,0.09,32
R,Emys,orbicularis,0.25,250
R,Lepidodactylus,orientalis,0.0172,1.49
R,Lepidodactylus,orientalis,0.0156,1.27
R,Lepidodactylus,orientalis,0.017,1.47
R,Lepidodactylus,orientalis,0.013,1.14
R,Lepidodactylus,orientalis,0.0133,1.1
R,Lepidodactylus,orientalis,0.014,1.01
R,Lepidodactylus,orientalis,0.0192,1.4
R,Lepidodactylus,orientalis,0.0152,1.17
R,Lepidodactylus,orientalis,0.0145,1.05
R,Lepidodactylus,orientalis,0.0148,1.34
R,Lepidodactylus,orientalis,0.016,1.23
R,Lepidodactylus,orientalis,0.0137,0.89
R,Lepidodactylus,orientalis,0.0133,1.06
R,Emoia,pallidiceps,0.037,2.81
R,Emoia,pallidiceps,0.0268,2.64
R,Emoia,pallidiceps,0.0262,2.23
R,Emoia,pallidiceps,0.0446,4.86
R,Emoia,pallidiceps,0.0428,4.15
R,Emoia,pallidiceps,0.0379,3.66
R,Emoia,pallidiceps,0.0369,3.27
R,Emoia,pallidiceps,0.028,2.39
R,Emoia,pallidiceps,0.0281,2.4
R,Emoia,pallidiceps,0.0308,2.08
R,Agkistrodon,piscivorus,0.64,728
R,Zonosaurus,quadrilineatus,0.209,82.7
R,Eumeces,schneideri,0.1715,51.7
R,Scincus,scincus,0.116,34.1
R,Trachemys,scripta,0.738,1418
R,Chelydra,serpentina,0.98,5125
R,Thamnophis,sirtalis,0.077,52
R,Thamnophis,sirtalis,0.123,57
R,Cyrtodactylus,sp.,0.0286,2.48
R,Cyrtodactylus,sp.,0.021,1.98
R,Cyrtodactylus,sp.,0.0209,1.55
R,Cyrtodactylus,sp.,0.0145,1.34
R,Cyrtodactylus,sp.,0.0242,2.03
R,Cyrtodactylus,sp.,0.023,2.12
R,Ameiva,sp.,0.231,27.1
R,Macrochelys,temminckii,1.01,1848
R,Lophognathus,temporalis,0.1395,31.1
R,Lophognathus,temporalis,0.1708,48.5
R,Lophognathus,temporalis,0.1573,31.9
R,Lophognathus,temporalis,0.1493,27
R,Lophognathus,temporalis,0.1281,30.1
R,Calotes,versicolor,0.097,14.6
R,Cerastes,vipera,0.076,62.1
R,Cryptoblepharus,virgatus,0.0143,1.01
R,Cryptoblepharus,virgatus,0.012,0.89
R,Cryptoblepharus,virgatus,0.0115,0.95
R,Cryptoblepharus,virgatus,0.0116,0.88
R,Cryptoblepharus,virgatus,0.0123,0.86
R,Cryptoblepharus,virgatus,0.0102,0.8
R,Cryptoblepharus,virgatus,0.0096,0.58
R,Cryptoblepharus,virgatus,0.0116,0.94
R,Cryptoblepharus,virgatus,0.0116,0.99
R,Cryptoblepharus,virgatus,0.0114,0.88
R,Cryptoblepharus,virgatus,0.0129,0.91
R,Cryptoblepharus,virgatus,0.0105,0.65
R,Cryptoblepharus,virgatus,0.0109,0.8
R,Cryptoblepharus,virgatus,0.0116,0.8
R,Cryptoblepharus,virgatus,0.0103,0.68
R,Cryptoblepharus,virgatus,0.012,0.67
R,Cryptoblepharus,virgatus,0.0096,0.62
R,Cryptoblepharus,virgatus,0.0097,0.64
R,Coluber,viridiflavus,0.209,285.1
R,Lacerta,viridis,0.134,26
R,Lacerta,viridis,0.093,16.8
R,Lacerta,viridis,0.109,21.2
R,Lacerta,vivipara,0.028,3.2
R,Trogonophis,wiegmanni,0.021,6.5
B,Uria,aalge,4.95,934.5
B,Uria,aalge,5.631,1184
B,Uria,aalge,4.903,714
B,Uria,aalge,4.36,633
B,Uria,aalge,4.193,586
B,Uria,aalge,4.55,630.5
B,Uria,aalge,5.023,1025
B,Uria,aalge,5.12,1015.5
B,Ciconia,abdimii,7.3,950
B,Deroptyus,accipitrinus,8.9,232.6
B,Calidris,acuminata,0.862,65.496
B,Anas,acuta,4.9548,670
B,Anas,acuta,5.241,1480
B,Poephila,acuticauda,0.481,12.826
B,Troglodytes,aedon,0.45,12.2
B,Troglodytes,aedon,0.6,12.1
B,Alopochen,aegyptiaca,7.64,1935
B,Pluvianus,aegyptius,1.15,60.3
B,Circus,aeruginosus,5.347,335
B,Circus,aeruginosus,5.619,545
B,Circus,aeruginosus,5.953,540
B,Amazona,aestiva,6.738,431.13
B,Amazona,aestiva,6.98,203
B,Amazona,aestiva,8.98,393.5
B,Amazona,aestiva,7.449,376.76
B,Amazona,aestiva,7.98,382.4
B,Amazona,aestiva,7.6,261.3
B,Amazona,aestiva,7.7,288.6
B,Amazona,aestiva,8.911,408.64
B,Turtur,afer,0.7,57.6
B,Euplectes,afer,0.612,10.485
B,Euplectes,afer,0.742,15.137
B,Mycerobas,affinis,1.839,59.618
B,Mycerobas,affinis,1.759,49.861
B,Mycerobas,affinis,1.55,61.98
B,Gyps,africanus,19.6,5270
B,Actophilornis,africanus,1.35,88
B,Phrygilus,alaudinus,0.7,16.6
B,Phrygilus,alaudinus,0.763,19.925
B,Motacilla,alba,0.52,18.3
B,Motacilla,alba,0.521,19.259
B,Motacilla,alba,0.54,19.6
B,Motacilla,alba,0.45,20
B,Motacilla,alba,0.66,22.2
B,Motacilla,alba,0.548,22.569
B,Motacilla,alba,0.569,18.373
B,Motacilla,alba,0.524,23.666
B,Motacilla,alba,0.524,23.666
B,Motacilla,alba,0.5,20
B,Motacilla,alba,0.555,22.913
B,Motacilla,alba,0.566,20.241
B,Motacilla,alba,0.538,20.635
B,Motacilla,alba,0.441,21.096
B,Motacilla,alba,0.7,20.7
B,Motacilla,alba,0.61,19.2
B,Motacilla,alba,0.574,21.725
B,Motacilla,alba,0.582,21.577
B,Motacilla,alba,0.71,20.9
B,Motacilla,alba,0.53,20.9
B,Cacatua,alba,11.138,334.5
B,Tyto,alba,5.425,277.596
B,Tyto,alba,5.813,276.135
B,Tyto,alba,5.389,181.102
B,Tyto,alba,5.843,306.645
B,Tyto,alba,5.843,306.645
B,Tyto,alba,6.605,205.056
B,Tyto,alba,4.916,209.582
B,Tyto,alba,5.774,288
B,Tyto,alba,5.488,253.446
B,Tyto,alba,5.1,225.098
B,Tyto,alba,6.586,200.474
B,Tyto,alba,5.298,324.123
B,Tyto,alba,6.554,338.58
B,Tyto,alba,5.322,188.829
B,Tyto,alba,5.628,218.277
B,Tyto,alba,5.646,226.5
B,Tyto,alba,5.21,227.43
B,Tyto,alba,5.759,227
B,Tyto,alba,5.786,234.35
B,Tyto,alba,4.816,304.781
B,Tyto,alba,5.816,197.416
B,Tyto,alba,5.512,235.359
B,Tyto,alba,5.49,289
B,Tyto,alba,5.49,289
B,Tyto,alba,4.728,241.807
B,Tyto,alba,5.226,296.529
B,Tyto,alba,5.217,271
B,Tyto,alba,5.316,215.5
B,Tyto,alba,5.018,290.594
B,Tyto,alba,5.42,268
B,Tyto,alba,6.106,204.536
B,Tyto,alba,5.219,224.053
B,Tyto,alba,5.569,211.208
B,Tyto,alba,5.135,258.02
B,Tyto,alba,5.723,225.63
B,Tyto,alba,5.109,202.079
B,Tyto,alba,5.966,230.931
B,Tyto,alba,6.139,285.516
B,Tyto,alba,6.053,219.439
B,Tyto,alba,5.465,224
B,Tyto,alba,5.616,249.176
B,Tyto,alba,5.264,232.559
B,Tyto,alba,5.497,245.464
B,Tyto,alba,5.481,224.779
B,Tyto,alba,5.971,234.44
B,Tyto,alba,5.768,241.285
B,Tyto,alba,6.096,217
B,Tyto,alba,6.229,236.92
B,Tyto,alba,5.483,228.833
B,Tyto,alba,6.229,368.69
B,Tyto,alba,5.35,242.4
B,Tyto,alba,5.05,263.8
B,Tyto,alba,6.012,243.671
B,Tyto,alba,5.959,248.911
B,Tyto,alba,4.579,224.471
B,Tyto,alba,5.995,222.2
B,Tyto,alba,5.708,225.369
B,Tyto,alba,5.341,218.144
B,Tyto,alba,5.108,244.5
B,Tyto,alba,6.203,241.005
B,Tyto,alba,4.75,304
B,Tyto,alba,6.896,302.521
B,Tyto,alba,5.256,218.032
B,Tyto,alba,6.166,226.122
B,Tyto,alba,6.159,226.116
B,Tyto,alba,6.359,216.865
B,Tyto,alba,5.968,203.938
B,Tyto,alba,5.6,298
B,Tyto,alba,4.556,328.525
B,Tyto,alba,5.652,260.7
B,Tyto,alba,5.573,229.7
B,Tyto,alba,6.04,224.9
B,Tyto,alba,5.469,212.533
B,Tyto,alba,5.543,207.837
B,Tyto,alba,5.664,214.028
B,Tyto,alba,6.565,279
B,Tyto,alba,5.68,225.9
B,Tyto,alba,5.675,231.55
B,Tyto,alba,5.453,221.425
B,Tyto,alba,5.25,311.5
B,Tyto,alba,6.347,308.143
B,Tyto,alba,5.394,296
B,Tyto,alba,4.727,311.996
B,Tyto,alba,6.063,267.432
B,Tyto,alba,5.85,310.6
B,Tyto,alba,5.133,202.81
B,Tyto,alba,5.399,316.348
B,Tyto,alba,5.399,316.348
B,Tyto,alba,5.93,309.2
B,Tyto,alba,6.824,208.771
B,Tyto,alba,5.686,212.306
B,Tyto,alba,5.514,185.785
B,Tyto,alba,5.378,303.746
B,Tyto,alba,6.3,230.1
B,Tyto,alba,6.23,243.127
B,Tyto,alba,7,300.7
B,Tyto,alba,5.846,213.964
B,Tyto,alba,5.739,259.841
B,Tyto,alba,5.909,285.543
B,Tyto,alba,5.952,242.675
B,Tyto,alba,5.652,209.866
B,Tyto,alba,5.198,218
B,Tyto,alba,5.722,214.74
B,Tyto,alba,6.18,209.586
B,Tyto,alba,5.334,198.918
B,Tyto,alba,5.904,230.901
B,Tyto,alba,6.179,220.208
B,Tyto,alba,5.441,197.405
B,Tyto,alba,6.7,405
B,Tyto,alba,8,419
B,Zonotrichia,albicollis,1.07,31.6
B,Amazona,albifrons,5.736,219.22
B,Amazona,albifrons,4.69,129
B,Melithreptus,albogularis,0.779,22.172
B,Casmerodius,albus,6.12,1030
B,Megaceryle,alcyon,2.384,166.486
B,Polytelis,alexandrae,2.984,83.9
B,Polytelis,alexandrae,2,83.5
B,Polytelis,alexandrae,2,102.484
B,Polytelis,alexandrae,2.8,99.6
B,Polytelis,alexandrae,3.69,98.05
B,Polytelis,alexandrae,3.001,110.277
B,Polytelis,alexandrae,3.021,101.4
